 C.10 Taxa de mortalidade específica por neoplasias malignas
População por Unidade da Federação e Faixa etária
Sexo: Masculino
Período:2011
"Unidade da Federação";"0 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"Rondônia";449034;125417;102445;65846;35622;17626;6298;802288
"Acre";237006;53889;36331;23507;13702;7020;3312;374767
"Amazonas";1118877;263370;181176;113862;61175;29863;12197;1780520
"Roraima";145913;33954;24704;15885;8330;3610;1377;233773
"Pará";2357982;577838;406569;269548;157140;77744;29742;3876563
"Amapá";219155;51393;34358;20616;10301;4875;1854;342552
"Tocantins";407639;106518;80341;54686;34530;19277;8113;711104
"Maranhão";2018893;448414;324262;228998;152707;86508;36934;3296716
"Piauí";865039;221432;173135;124947;84006;47842;22475;1538876
"Ceará";2332254;603410;491833;320217;219394;125505;65219;4157832
"Rio Grande do Norte";856813;234940;196749;122565;82175;44971;25486;1563699
"Paraíba";1001182;271277;219558;147509;103697;59968;32897;1836088
"Pernambuco";2354093;651393;508933;346315;225804;120559;56689;4263786
"Alagoas";895980;219212;168749;114190;72798;36040;15792;1522761
"Sergipe";581084;153907;120289;77546;47859;23604;11216;1015505
"Bahia";3806354;1057527;822486;573385;365621;196719;95378;6917470
"Minas Gerais";4860254;1494907;1308618;996680;594404;322961;128375;9706199
"Espírito Santo";895815;276867;232861;175528;94370;50547;20994;1746982
"Rio de Janeiro";3697610;1213427;1066866;842811;500156;262281;101595;7684746
"São Paulo";9969977;3316947;2774761;2095956;1214306;622741;241944;20236632
"Paraná";2592880;800191;713355;517828;316369;164307;59316;5164246
"Santa Catarina";1561710;496417;451411;326705;182126;85953;30006;3134328
"Rio Grande do Sul";2470520;768009;744553;611976;374022;187348;67908;5224336
"Mato Grosso do Sul";652730;190802;160238;113590;66709;36004;14105;1234178
"Mato Grosso";843961;256527;207017;137756;75693;36759;12765;1570478
"Goiás";1580098;501704;397713;268421;159247;82074;30524;3019781
"Distrito Federal";675342;221942;163811;100532;52856;25026;8417;1247926
"Total";49448195;14611631;12113122;8807405;5305119;2777732;1140928;94204132
 Fonte: Ministério da Saúde/SVS - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 Nas tabulações por faixa etária ou sexo, estão suprimidos os casos com idade ou sexo ignorados, respectivamente.
 TME - Taxa de mortalidade específica: óbitos por 100.000 habitantes.
 Taxas calculadas a partir dos óbitos informados ao SIM. As análises devem considerar as limitações de cobertura e qualidade da informação da causa de óbito.
 A taxa de mortalidade específica não padronizada por idade está sujeitas à influência de variações na composição etária da população,
 o que exige cautela nas comparações entre áreas geográficas e para períodos distintos.
 As taxas de mortalidade específica por neoplasias do colo do útero e da mama estão calculadas apenas para a população feminina,
 e por neoplasias da próstata apenas para a população masculina.
 
