"Cod","Unidade.da.Federação","Idade","Masculino","Feminino","Total"
11,"Rondônia","30-59",341625,329322,670947
12,"Acre","30-59",127000,125152,252152
13,"Amazonas","30-59",645744,634034,1279778
14,"Roraima","30-59",84057,78996,163053
15,"Pará","30-59",1404704,1359566,2764270
16,"Amapá","30-59",123790,119039,242829
17,"Tocantins","30-59",273203,261444,534647
21,"Maranhão","30-59",1107039,1154486,2261525
22,"Piauí","30-59",568212,611690,1179902
23,"Ceará","30-59",1556565,1667807,3224372
24,"Rio Grande do Norte","30-59",635338,660192,1295530
25,"Paraíba","30-59",706936,771887,1478823
26,"Pernambuco","30-59",1688822,1847095,3535917
27,"Alagoas","30-59",566925,618256,1185181
28,"Sergipe","30-59",401821,427470,829291
29,"Bahia","30-59",2903738,2965868,5869606
31,"Minas Gerais","30-59",4202824,4264805,8467629
32,"Espírito Santo","30-59",793173,793575,1586748
33,"Rio de Janeiro","30-59",3333509,3557040,6890549
35,"São Paulo","30-59",9073161,9400496,18473657
41,"Paraná","30-59",2212621,2305724,4518345
42,"Santa Catarina","30-59",1400861,1383645,2784506
43,"Rio Grande do Sul","30-59",2275223,2356166,4631389
50,"Mato Grosso do Sul","30-59",510403,515917,1026320
51,"Mato Grosso","30-59",655718,619756,1275474
52,"Goiás","30-59",1308960,1336238,2645198
53,"Distrito Federal","30-59",542278,637330,1179608
11,"Rondônia","acima de 60",65516,62653,128169
12,"Acre","acima de 60",24234,25610,49844
13,"Amazonas","acima de 60",109167,118740,227907
14,"Roraima","acima de 60",13875,12621,26496
15,"Pará","acima de 60",280145,299723,579868
16,"Amapá","acima de 60",18738,19744,38482
17,"Tocantins","acima de 60",62944,61630,124574
21,"Maranhão","acima de 60",253070,303517,556587
22,"Piauí","acima de 60",140001,179007,319008
23,"Ceará","acima de 60",399743,518220,917963
24,"Rio Grande do Norte","acima de 60",154205,204519,358724
25,"Paraíba","acima de 60",189537,254820,444357
26,"Pernambuco","acima de 60",401893,564181,966074
27,"Alagoas","acima de 60",128915,166417,295332
28,"Sergipe","acima de 60",85228,111257,196485
29,"Bahia","acima de 60",691067,869114,1560181
31,"Minas Gerais","acima de 60",1180864,1426231,2607095
32,"Espírito Santo","acima de 60",195814,236633,432447
33,"Rio de Janeiro","acima de 60",963680,1368282,2331962
35,"São Paulo","acima de 60",2416504,3130919,5547423
41,"Paraná","acima de 60",619955,736787,1356742
42,"Santa Catarina","acima de 60",357201,431850,789051
43,"Rio Grande do Sul","acima de 60",735471,958679,1694150
50,"Mato Grosso do Sul","acima de 60",125050,142007,267057
51,"Mato Grosso","acima de 60",140048,136198,276246
52,"Goiás","acima de 60",301899,337720,639619
53,"Distrito Federal","acima de 60",108254,148521,256775
