 C.10 Taxa de mortalidade específica por neoplasias malignas
TME p/neopl.estômago por Unidade da Federação e Faixa etária
Sexo: Feminino
Período:2011
"Unidade da Federação";"0 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"Rondônia";-;0,8;1,0;1,6;21,7;62,9;17,3;2,7
"Acre";0,4;-;2,8;4,2;22,1;29,4;91,2;3,0
"Amazonas";0,2;1,5;6,3;12,5;27,4;61,8;94,1;4,7
"Roraima";-;-;-;-;-;30,6;-;0,4
"Pará";0,3;1,9;4,1;9,4;17,4;31,6;63,6;3,6
"Amapá";-;-;-;5,1;39,4;95,3;-;2,9
"Tocantins";-;3,8;3,9;3,8;9,6;11,4;63,2;2,8
"Maranhão";0,3;0,6;0,9;7,6;10,6;15,1;41,7;2,4
"Piauí";0,1;1,7;1,1;6,3;13,9;29,8;48,1;3,7
"Ceará";0,2;1,4;4,8;12,1;27,9;35,7;58,0;6,1
"Rio Grande do Norte";0,1;1,6;3,7;5,0;14,1;30,7;56,4;4,4
"Paraíba";-;2,4;2,9;12,7;18,6;33,2;63,3;6,0
"Pernambuco";0,2;1,8;4,7;6,7;15,0;30,3;39,0;4,4
"Alagoas";-;1,2;1,6;5,3;7,1;8,6;30,8;1,9
"Sergipe";0,2;1,2;3,0;7,9;12,5;28,3;34,8;3,4
"Bahia";0,2;1,3;3,3;7,8;13,0;22,7;39,9;3,7
"Minas Gerais";0,1;1,2;2,8;7,0;13,1;33,9;66,8;4,9
"Espírito Santo";0,3;2,1;2,9;8,5;19,7;26,8;104,1;5,7
"Rio de Janeiro";0,2;1,4;4,7;6,3;16,9;31,7;50,6;5,7
"São Paulo";0,1;1,5;3,1;8,2;15,4;35,6;72,2;5,5
"Paraná";0,2;1,6;2,4;8,6;18,9;35,2;68,9;5,3
"Santa Catarina";0,1;1,4;2,6;7,3;18,8;49,4;73,8;5,6
"Rio Grande do Sul";0,1;0,9;3,8;8,4;14,9;34,6;63,2;6,1
"Mato Grosso do Sul";0,2;1,5;2,4;5,1;27,2;47,5;57,9;4,9
"Mato Grosso";-;1,2;3,1;9,4;17,2;23,5;53,0;3,2
"Goiás";0,2;0,6;4,3;4,9;14,2;28,8;37,7;3,3
"Distrito Federal";-;2,4;2,7;6,6;16,4;15,2;55,0;3,2
"Total";0,1;1,4;3,3;7,7;16,1;32,7;60,2;4,8
 Fonte: Ministério da Saúde/SVS - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 Nas tabulações por faixa etária ou sexo, estão suprimidos os casos com idade ou sexo ignorados, respectivamente.
 TME - Taxa de mortalidade específica: óbitos por 100.000 habitantes.
 Taxas calculadas a partir dos óbitos informados ao SIM. As análises devem considerar as limitações de cobertura e qualidade da informação da causa de óbito.
 A taxa de mortalidade específica não padronizada por idade está sujeitas à influência de variações na composição etária da população,
 o que exige cautela nas comparações entre áreas geográficas e para períodos distintos.
 As taxas de mortalidade específica por neoplasias do colo do útero e da mama estão calculadas apenas para a população feminina,
 e por neoplasias da próstata apenas para a população masculina.
 
