 C.10 Taxa de mortalidade específica por neoplasias malignas
TME p/neopl.estômago por Unidade da Federação e Faixa etária
Sexo: Masculino
Período:2011
"Unidade da Federação";"0 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"Rondônia";-;0,8;5,9;18,2;64,6;90,8;47,6;7,6
"Acre";-;1,9;8,3;21,3;65,7;99,7;120,8;7,7
"Amazonas";0,1;2,7;11,0;42,2;88,3;160,7;139,4;11,0
"Roraima";-;-;4,0;12,6;60,0;55,4;145,2;5,1
"Pará";0,3;2,1;4,7;21,5;50,3;105,5;97,5;7,4
"Amapá";0,5;-;11,6;14,6;87,4;246,2;107,9;9,0
"Tocantins";-;1,9;5,0;12,8;26,1;31,1;61,6;4,6
"Maranhão";-;1,6;4,3;14,8;33,4;42,8;59,6;5,0
"Piauí";-;0,9;3,5;11,2;25,0;37,6;40,0;4,5
"Ceará";0,1;1,7;6,5;19,7;52,9;89,2;141,1;10,3
"Rio Grande do Norte";0,1;1,7;8,6;15,5;34,1;71,2;94,2;8,0
"Paraíba";0,3;1,1;10,0;16,3;43,4;68,4;76,0;8,9
"Pernambuco";0,2;1,4;6,1;17,3;39,0;78,8;77,6;7,8
"Alagoas";0,1;0,5;3,0;12,3;27,5;44,4;25,3;4,0
"Sergipe";-;3,2;4,2;10,3;27,2;55,1;35,7;4,7
"Bahia";0,1;0,9;4,0;13,4;32,5;55,9;92,3;6,3
"Minas Gerais";0,1;0,7;5,3;16,3;41,2;78,6;130,1;9,4
"Espírito Santo";0,3;1,4;7,7;13,1;55,1;83,1;190,5;10,4
"Rio de Janeiro";0,1;1,8;4,2;18,6;42,4;80,8;121,1;10,1
"São Paulo";0,1;1,1;5,7;20,4;46,1;104,2;165,3;11,1
"Paraná";0,0;1,4;6,0;20,5;65,7;108,9;148,4;12,3
"Santa Catarina";0,2;1,0;5,3;23,3;50,5;86,1;170,0;10,4
"Rio Grande do Sul";0,2;1,7;5,9;16,5;37,7;85,9;148,7;10,8
"Mato Grosso do Sul";0,2;1,6;5,0;13,2;57,0;61,1;134,7;8,6
"Mato Grosso";-;0,8;1,4;14,5;41,0;62,6;78,3;5,7
"Goiás";0,2;2,4;5,5;10,8;39,6;64,6;85,2;6,9
"Distrito Federal";-;0,9;4,9;13,9;47,3;127,9;142,6;7,5
"Total";0,1;1,3;5,5;17,9;44,4;84,5;123,7;9,1
 Fonte: Ministério da Saúde/SVS - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 Nas tabulações por faixa etária ou sexo, estão suprimidos os casos com idade ou sexo ignorados, respectivamente.
 TME - Taxa de mortalidade específica: óbitos por 100.000 habitantes.
 Taxas calculadas a partir dos óbitos informados ao SIM. As análises devem considerar as limitações de cobertura e qualidade da informação da causa de óbito.
 A taxa de mortalidade específica não padronizada por idade está sujeitas à influência de variações na composição etária da população,
 o que exige cautela nas comparações entre áreas geográficas e para períodos distintos.
 As taxas de mortalidade específica por neoplasias do colo do útero e da mama estão calculadas apenas para a população feminina,
 e por neoplasias da próstata apenas para a população masculina.
 
