 C.10 Taxa de mortalidade específica por neoplasias malignas
TME p/neoplasias malignas por Unidade da Federação e Faixa etária
Sexo: Masculino
Período:2011
"Unidade da Federação";"0 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"Rondônia";6,0;18,3;48,8;141,2;364,9;635,4;1222,6;63,8
"Acre";8,4;18,6;52,3;144,6;313,8;669,5;1419,1;58,7
"Amazonas";8,1;12,2;40,8;172,1;433,2;843,9;1402,0;60,7
"Roraima";6,2;8,8;40,5;125,9;396,2;581,7;2251,3;54,3
"Pará";4,9;12,3;31,0;112,4;268,6;554,4;988,5;45,5
"Amapá";5,0;7,8;46,6;92,2;368,9;943,6;1564,2;47,6
"Tocantins";5,6;16,9;34,9;113,4;280,9;586,2;1294,2;62,7
"Maranhão";6,1;13,8;32,7;95,6;235,7;437,0;839,3;47,3
"Piauí";7,6;16,7;41,0;138,5;307,1;606,2;1085,7;74,0
"Ceará";5,8;14,3;52,7;147,1;381,0;740,2;1329,4;86,2
"Rio Grande do Norte";7,4;15,3;50,8;193,4;412,5;811,6;1404,7;95,8
"Paraíba";5,2;15,1;58,8;168,8;347,2;638,7;1133,8;86,4
"Pernambuco";5,3;16,4;52,7;166,3;377,8;773,9;1492,4;86,9
"Alagoas";6,4;15,5;40,3;112,1;283,0;496,7;899,2;53,5
"Sergipe";5,3;16,2;53,2;157,3;359,4;686,3;1435,4;72,6
"Bahia";4,8;13,1;47,9;146,8;306,6;621,7;1113,5;71,8
"Minas Gerais";5,1;14,5;60,9;186,2;403,9;809,4;1522,1;103,9
"Espírito Santo";7,7;20,2;61,8;217,1;534,1;967,4;1914,8;117,1
"Rio de Janeiro";6,7;18,7;60,6;221,3;496,4;993,6;1776,7;128,5
"São Paulo";6,0;16,4;63,2;224,9;512,8;1046,7;1856,2;122,8
"Paraná";7,3;20,5;77,7;227,9;556,6;1088,8;2036,6;132,6
"Santa Catarina";5,3;18,1;74,7;266,3;584,8;1159,9;2202,9;130,9
"Rio Grande do Sul";7,7;19,9;81,3;266,2;658,8;1321,6;2419,4;175,3
"Mato Grosso do Sul";4,4;20,4;62,4;221,9;445,2;830,5;1609,4;100,7
"Mato Grosso";5,9;13,6;43,0;173,5;401,6;837,9;1590,3;78,2
"Goiás";6,7;14,7;49,5;171,0;415,7;793,2;1438,2;85,7
"Distrito Federal";5,9;13,5;56,2;175,1;493,8;1110,8;2209,8;85,2
"Total";6,0;16,1;58,6;197,2;451,7;896,0;1607,1;103,0
 Fonte: Ministério da Saúde/SVS - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 Nas tabulações por faixa etária ou sexo, estão suprimidos os casos com idade ou sexo ignorados, respectivamente.
 TME - Taxa de mortalidade específica: óbitos por 100.000 habitantes.
 Taxas calculadas a partir dos óbitos informados ao SIM. As análises devem considerar as limitações de cobertura e qualidade da informação da causa de óbito.
 A taxa de mortalidade específica não padronizada por idade está sujeitas à influência de variações na composição etária da população,
 o que exige cautela nas comparações entre áreas geográficas e para períodos distintos.
 As taxas de mortalidade específica por neoplasias do colo do útero e da mama estão calculadas apenas para a população feminina,
 e por neoplasias da próstata apenas para a população masculina.
 
